CP
58
54
56
52
52
55
67
54
52
63
54
53
53
73
62
52
67
55
41
60
54
53
53
53
53
57
52
53
56
78
62
54
55
54
58
58
58
57
66
78
63
56
58
54
58
58
55
66
52
53
