CP
55
33
52
58
62
52
59
57
54
52
58
52
52
53
53
60
53
51
53
66
51
53
54
51
56
55
57
51
54
54
47
54
59
53
55
55
60
57
53
53
53
54
54
53
54
52
53
56
57
54
