CP
99
61
76
58
68
90
70
88
80
56
88
79
66
99
81
65
99
99
53
79
58
99
99
80
99
56
70
63
90
73
68
65
82
99
99
99
58
67
75
87
78
74
55
79
73
99
60
97
56
64
