CP
56
59
99
58
63
77
79
66
80
56
57
54
74
68
65
95
99
52
58
79
71
52
69
54
72
99
89
85
63
64
67
64
79
58
51
72
63
53
60
72
54
57
82
99
61
55
59
65
68
99
