CP
87
99
68
79
71
56
99
94
98
81
73
72
99
99
81
99
62
55
68
99
74
83
99
72
65
52
57
81
99
80
82
60
99
66
52
99
70
67
73
99
99
75
64
99
58
90
52
99
67
99
