CP
58
96
65
55
64
56
64
59
64
71
60
99
59
55
55
53
34
55
81
94
99
62
66
99
53
69
99
53
54
66
55
60
56
65
52
53
58
56
31
67
71
75
53
52
58
71
61
55
67
74
