CP
53
58
58
61
53
55
58
67
69
55
65
57
59
60
57
60
65
57
56
58
58
82
61
62
53
58
57
59
63
57
59
53
55
73
73
60
63
54
47
57
55
60
68
53
55
68
57
57
60
61
