CP
61
65
61
62
52
58
67
59
53
63
62
58
68
65
69
58
57
56
68
64
59
73
56
66
61
60
58
54
53
56
67
54
59
66
54
59
60
55
63
64
69
56
72
56
60
58
67
54
58
55
