CP
67
54
53
62
58
73
55
53
56
55
67
53
58
54
60
54
54
56
53
53
54
59
66
55
65
55
64
53
54
61
59
61
53
62
58
53
61
54
61
55
57
55
55
64
57
53
66
53
58
60
