CP
54
55
64
65
69
68
59
61
64
55
54
55
56
68
72
51
55
53
55
62
66
80
53
59
53
64
59
59
76
60
52
75
60
55
90
53
67
56
63
73
63
80
69
58
56
61
65
71
53
64
